Departamento,Municipio,Programa,Año de Asignación,Estado de Postulación,Hogares,Valor Asignado
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2004,Asignados,5,35800000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2005,Asignados,2,17900000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2006,Asignados,4,40800000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2007,Asignados,21,236382500.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,2,20233250.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2008,Asignados,19,226921750.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,2,29814000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2009,Asignados,9,134163000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2010,Asignados,26,388825000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2010,Renuncia con restitucion de subsidio,1,15450000.00
ANTIOQUIA,ABEJORRAL,Bolsa Desplazados,2011,Asignados,9,144612000.00
ANTIOQUIA,ABEJORRAL,Bolsa Esfuerzo Territorial,2006,Asignados,54,432000000.00
ANTIOQUIA,ABEJORRAL,Bolsa Esfuerzo Territorial,2006,Restitucion de subsidios no aplicados,2,16000000.00
ANTIOQUIA,ABEJORRAL,Bolsa Esfuerzo Territorial,2006,Restitución SFV por Indemnización,3,24000000.00
ANTIOQUIA,ABEJORRAL,Bolsa Ordinaria,2008,Asignados,2,18215400.00
ANTIOQUIA,ABEJORRAL,Bolsa Ordinaria,2008,Restitución SFV por Vencimiento Vigencia,1,9107700.00
ANTIOQUIA,ABEJORRAL,Bolsa Saludable,2009,Apto con subsidio vencido,7,27826400.00
ANTIOQUIA,ABEJORRAL,Bolsa Saludable,2009,Asignados,123,488949600.00
ANTIOQUIA,ABEJORRAL,Bolsa Saludable,2009,Renuncia con restitucion de subsidio,1,3975200.00
ANTIOQUIA,ABEJORRAL,Bolsa Saludable,2009,Restitución SFV por Vencimiento Vigencia,1,3975200.00
ANTIOQUIA,ABEJORRAL,Programa de Vivienda Gratuita Fase I,2010,Asignados,1,15450000.00
ANTIOQUIA,ABEJORRAL,Programa de Vivienda Gratuita Fase I,2014,Asignados,40,1478400000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2007,Asignados,3,36592000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2008,Asignados,2,26444500.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2009,Asignados,2,29814000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2010,Asignados,2,30900000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Desplazados,2012,Asignado con aplicación en Vivienda Gratuita,1,17001000.00
ANTIOQUIA,ALEJANDRIA,Bolsa Esfuerzo Territorial,2003,Asignados,21,149247000.00
ANTIOQUIA,AMAGA,Bolsa Desplazados,2004,Asignados,1,4475000.00
ANTIOQUIA,AMAGA,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,AMAGA,Bolsa Desplazados,2007,Asignados,1,14907000.00
ANTIOQUIA,AMAGA,Bolsa Desplazados,2008,Asignados,1,11537500.00
ANTIOQUIA,AMAGA,Bolsa Desplazados,2010,Asignados,1,15450000.00
ANTIOQUIA,AMAGA,Bolsa Esfuerzo Territorial,2003,Asignados,43,305601000.00
ANTIOQUIA,AMAGA,Bolsa Esfuerzo Territorial,2003,Renuncia a la postulación,1,7107000.00
ANTIOQUIA,AMAGA,Bolsa Esfuerzo Territorial,2003,Renuncias al subsidio,1,7107000.00
ANTIOQUIA,AMAGA,Bolsa Esfuerzo Territorial,2007,Asignados,28,224322000.00
ANTIOQUIA,AMAGA,MI CASA YA,2017,Asignados,12,160822306.00
ANTIOQUIA,AMAGA,MI CASA YA,2017,Renuncias al subsidio,1,14754340.00
ANTIOQUIA,AMAGA,MI CASA YA,2018,Asignados,2,31249680.00
ANTIOQUIA,AMAGA,MI CASA YA,2019,Asignados,3,49686960.00
ANTIOQUIA,AMAGA,Programa de Vivienda Gratuita Fase I,2014,Asignados,65,2378550000.00
ANTIOQUIA,AMAGA,Programa de Vivienda Gratuita Fase I,2014,Renuncias al subsidio,1,35370000.00
ANTIOQUIA,AMAGA,Programa de Vivienda Gratuita Fase I,2015,Asignados,37,1328159000.00
ANTIOQUIA,AMAGA,Programa de Vivienda Gratuita Fase I,2015,Renuncias al subsidio,2,70740000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2007,Asignados,2,21685000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2008,Asignados,5,67796000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2009,Asignados,1,14907000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,1,15450000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2010,Asignados,4,55362500.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2010,Restitución SFV por Indemnización,1,15450000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2011,Asignado con aplicación en Vivienda Gratuita,1,9373000.00
ANTIOQUIA,AMALFI,Bolsa Desplazados,2011,Asignados,1,16068000.00
ANTIOQUIA,AMALFI,Bolsa Esfuerzo Territorial,2006,Asignados,4,31000000.00
ANTIOQUIA,AMALFI,Bolsa Esfuerzo Territorial,2006,Restitución SFV por Vencimiento Vigencia,2,15500000.00
ANTIOQUIA,AMALFI,Bolsa Esfuerzo Territorial,2007,Apto con subsidio vencido,5,38750000.00
ANTIOQUIA,AMALFI,Bolsa Esfuerzo Territorial,2007,Asignados,19,147250000.00
ANTIOQUIA,AMALFI,Bolsa Esfuerzo Territorial,2007,Restitución SFV por Vencimiento Vigencia,2,15500000.00
ANTIOQUIA,AMALFI,Bolsa Saludable,2008,Asignados,17,62764000.00
ANTIOQUIA,AMALFI,Programa de Vivienda Gratuita Fase I,2014,Asignados,21,776160000.00
ANTIOQUIA,AMALFI,Programa de Vivienda Gratuita Fase I,2015,Asignados,79,2919840000.00
ANTIOQUIA,ANDES,Bolsa Desplazados,2007,Asignados,2,25749500.00
ANTIOQUIA,ANDES,Bolsa Desplazados,2008,Asignados,7,78363250.00
ANTIOQUIA,ANDES,Bolsa Desplazados,2009,Asignados,1,14907000.00
ANTIOQUIA,ANDES,Bolsa Desplazados,2010,Asignados,3,46350000.00
ANTIOQUIA,ANDES,Bolsa Desplazados,2011,Asignados,2,32136000.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2003,Asignados,16,113691440.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2003,Renuncia a la postulación,1,7105715.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2005,Asignados,3,22554000.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2006,Asignados,7,53452000.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2010,Asignados,18,184846800.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2010,Renuncia con restitucion de subsidio,1,10931800.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2010,Restitución SFV por Vencimiento Vigencia,3,32546950.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2011,Apto con subsidio vencido,1,8447300.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2011,Asignados,1,6459700.00
ANTIOQUIA,ANDES,Bolsa Esfuerzo Territorial,2011,Restitución SFV por Vencimiento Vigencia,1,10683350.00
ANTIOQUIA,ANDES,MI CASA YA,2015,Renuncias al subsidio,1,12887000.00
ANTIOQUIA,ANDES,MI CASA YA,2016,Apto con subsidio vencido,2,22062560.00
ANTIOQUIA,ANDES,MI CASA YA,2017,Asignados,6,95903210.00
ANTIOQUIA,ANDES,MI CASA YA,2017,Renuncias al subsidio,1,22131510.00
ANTIOQUIA,ANDES,MI CASA YA,2018,Asignados,10,179685660.00
ANTIOQUIA,ANDES,MI CASA YA,2019,Asignados,24,513431920.00
ANTIOQUIA,ANDES,MI CASA YA,2020,Asignados,42,816356790.00
ANTIOQUIA,ANDES,MI CASA YA,2021,Asignados,16,319081380.00
ANTIOQUIA,ANDES,Programa de Vivienda Gratuita Fase I,2014,Asignados,90,3326400000.00
ANTIOQUIA,ANDES,Programa de Vivienda Gratuita Fase I,2015,Asignados,10,369600000.00
ANTIOQUIA,ANDES,Semillero de Propietarios Ahorro,2020,Asignados,4,21067272.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Concejales,2009,Asignados,1,9441100.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2007,Asignados,6,81313000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2008,Asignados,5,64426500.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2008,Restitución SFV por Indemnización,1,14907000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2009,Asignados,5,74535000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,1,15450000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2010,Asignados,4,61800000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Desplazados,2011,Asignados,1,16068000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Esfuerzo Territorial,2003,Asignados,11,78177000.00
ANTIOQUIA,ANGELOPOLIS,Bolsa Esfuerzo Territorial,2003,Renuncia a la postulación,1,7107000.00
ANTIOQUIA,ANGOSTURA,Ahorro Programado Contractual,2011,Apto con subsidio vencido,1,10176400.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2007,Asignados,1,5421250.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2008,Asignados,3,41351500.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2008,Renuncia con restitucion de subsidio,1,14907000.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,2,23602750.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,1,15450000.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2010,Asignados,1,15450000.00
ANTIOQUIA,ANGOSTURA,Bolsa Desplazados,2011,Asignados,2,32136000.00
ANTIOQUIA,ANGOSTURA,Programa de Vivienda Gratuita Fase I,2014,Asignados,24,887040000.00
ANTIOQUIA,ANGOSTURA,Programa de Vivienda Gratuita Fase I,2014,Renuncias al subsidio,1,36960000.00
ANTIOQUIA,ANGOSTURA,Programa de Vivienda Gratuita Fase I,2015,Asignados,16,565920000.00
ANTIOQUIA,ANGOSTURA,Programa de Vivienda Gratuita Fase I,2015,Renuncias al subsidio,1,35370000.00
ANTIOQUIA,ANGOSTURA,Programa de Vivienda Gratuita Fase I,2015,Subsidio Revocado,1,35370000.00
ANTIOQUIA,ANGOSTURA,Programa de Vivienda Gratuita Fase I,2016,Asignados,2,70740000.00
ANTIOQUIA,ANORI,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,1,8695750.00
ANTIOQUIA,ANORI,Bolsa Desplazados,2007,Asignados,2,18296000.00
ANTIOQUIA,ANORI,Bolsa Desplazados,2008,Asignados,9,104893000.00
ANTIOQUIA,ANORI,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,1,8695750.00
ANTIOQUIA,ANORI,Bolsa Desplazados,2009,Asignados,3,38509750.00
ANTIOQUIA,ANORI,Bolsa Desplazados,2010,Asignados,6,86262500.00
ANTIOQUIA,ANORI,Bolsa Saludable,2008,Apto con subsidio vencido,2,7384000.00
ANTIOQUIA,ANORI,Bolsa Saludable,2008,Asignados,17,62764000.00
ANTIOQUIA,ANORI,MI CASA YA,2016,Asignados,1,8273460.00
ANTIOQUIA,ANZA,Bolsa Desplazados,2007,Asignados,1,10842500.00
ANTIOQUIA,APARTADO,Ahorro Programado Contractual,2011,Apto con subsidio vencido,1,11783200.00
ANTIOQUIA,APARTADO,Ahorro Programado Contractual,2011,Asignados,1,11783200.00
ANTIOQUIA,APARTADO,Ahorro Programado Contractual,2012,Apto con subsidio vencido,1,11783200.00
ANTIOQUIA,APARTADO,Ahorro Programado Contractual,2012,Asignados,1,11783200.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2005,Asignados,145,1161667500.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2005,Restitución SFV por Vencimiento Vigencia,6,48069000.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2006,Apto con subsidio vencido,2,17136000.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2006,Asignados,32,274176000.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2006,Restitucion de subsidios no aplicados,1,8568000.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2006,Restitución SFV por Vencimiento Vigencia,6,51408000.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2007,Asignados,3,25704000.00
ANTIOQUIA,APARTADO,Bolsa Desastres Naturales,2007,Renuncia con restitucion de subsidio,1,8568000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2004,Asignados,42,363957000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2005,Asignados,25,302673000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2006,Asignados,23,262449000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2006,Subsidio Revocado,1,14907000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,3,44721000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2007,Asignados,149,1284446750.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2007,Subsidio Revocado,1,14907000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,13,167423728.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2008,Asignados,398,4036123250.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2008,Renuncia con restitucion de subsidio,1,7453500.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2008,Restitución SFV por Indemnización,8,119256000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,4,59628000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2009,Asignados,125,1657161500.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2009,Renuncia con restitucion de subsidio,1,14907000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2009,Restitución SFV por Indemnización,3,38509750.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Apto con subsidio vencido,4,54075000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,23,348912500.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Asignados,217,3258662500.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Perdida de ejecutoriedad de asignación de SFV,4,38625000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Renuncia con restitucion de subsidio,3,46350000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Restitución SFV por Indemnización,1,15450000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2010,Subsidio Revocado,1,15450000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2011,Asignado con aplicación en Vivienda Gratuita,2,32136000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2011,Asignados,42,645398000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2011,Renuncia con restitucion de subsidio,1,16068000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2012,Asignados,1,17001000.00
ANTIOQUIA,APARTADO,Bolsa Desplazados,2015,Apto con subsidio vencido,1,19330500.00
ANTIOQUIA,APARTADO,Bolsa Esfuerzo Territorial,2003,Apto con subsidio vencido,1,7107000.00
ANTIOQUIA,APARTADO,Bolsa Esfuerzo Territorial,2003,Asignados,68,483276000.00
ANTIOQUIA,APARTADO,Bolsa Esfuerzo Territorial,2003,Renuncia a la postulación,1,7107000.00
ANTIOQUIA,APARTADO,Bolsa Ordinaria,2008,Asignados,1,9107700.00
ANTIOQUIA,APARTADO,Bolsa Recicladores,2009,Apto con subsidio vencido,4,38509750.00
ANTIOQUIA,APARTADO,Bolsa Recicladores,2010,Apto con subsidio vencido,2,22660000.00
ANTIOQUIA,APARTADO,Bolsa Saludable,2008,Apto con subsidio vencido,1,3689044.67
ANTIOQUIA,APARTADO,Bolsa Saludable,2008,Asignados,150,553356700.90
ANTIOQUIA,APARTADO,Bolsa Saludable,2009,Apto con subsidio vencido,1,3689045.00
ANTIOQUIA,APARTADO,Bolsa Saludable,2009,Asignados,10,36890441.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2014,Apto con subsidio vencido,1,33577780.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2014,Asignados,136,3340863850.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2014,Renuncias al subsidio,8,184812720.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2015,Apto con subsidio vencido,1,33577780.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2015,Asignados,48,1033140370.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2015,Renuncias al subsidio,3,69304770.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2016,Asignados,10,223016660.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2017,Asignados,2,56679370.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2018,Asignados,3,79346595.00
ANTIOQUIA,APARTADO,Fenómeno de la Niña,2019,Asignados,5,132613070.00
ANTIOQUIA,APARTADO,Habilitación de Titulos,2005,Apto con subsidio vencido,928,2649624600.00
ANTIOQUIA,APARTADO,Habilitación de Titulos,2005,Asignados,947,100950200.00
ANTIOQUIA,APARTADO,Habilitación de Titulos,2005,Renuncias al subsidio,1,106600.00
ANTIOQUIA,APARTADO,Habilitación de Titulos,2005,Subsidio Revocado,17,49490000.00
ANTIOQUIA,APARTADO,Habilitación de Titulos,2007,Asignados,116,11600000.00
ANTIOQUIA,APARTADO,MI CASA YA,2015,Asignados,3,28351400.00
ANTIOQUIA,APARTADO,MI CASA YA,2015,Renuncias al subsidio,1,7732200.00
ANTIOQUIA,APARTADO,MI CASA YA,2016,Apto con subsidio vencido,6,71703320.00
ANTIOQUIA,APARTADO,MI CASA YA,2016,Asignados,35,377821340.00
ANTIOQUIA,APARTADO,MI CASA YA,2016,Renuncia con restitucion de subsidio,1,8273460.00
ANTIOQUIA,APARTADO,MI CASA YA,2016,Renuncias al subsidio,3,30336020.00
ANTIOQUIA,APARTADO,MI CASA YA,2017,Apto con subsidio vencido,2,29508680.00
ANTIOQUIA,APARTADO,MI CASA YA,2017,Asignados,41,610829676.00
ANTIOQUIA,APARTADO,MI CASA YA,2017,Renuncias al subsidio,2,36885850.00
ANTIOQUIA,APARTADO,MI CASA YA,2018,Asignados,21,429683100.00
ANTIOQUIA,APARTADO,MI CASA YA,2018,Renuncias al subsidio,1,15624840.00
ANTIOQUIA,APARTADO,MI CASA YA,2019,Asignados,93,2077164940.00
ANTIOQUIA,APARTADO,MI CASA YA,2020,Asignados,67,1264036320.00
ANTIOQUIA,APARTADO,MI CASA YA,2021,Asignados,60,1077810360.00
ANTIOQUIA,APARTADO,Programa de Vivienda Gratuita Fase I,2007,Asignados,3,44721000.00
ANTIOQUIA,APARTADO,Programa de Vivienda Gratuita Fase I,2008,Asignados,5,74535000.00
ANTIOQUIA,APARTADO,Programa de Vivienda Gratuita Fase I,2010,Asignados,1,15450000.00
ANTIOQUIA,APARTADO,Programa de Vivienda Gratuita Fase I,2013,Asignados,1,41265000.00
ANTIOQUIA,APARTADO,Programa de Vivienda Gratuita Fase I,2014,Asignados,191,4526707810.00
ANTIOQUIA,APARTADO,Programa de Vivienda Gratuita Fase I,2015,Asignados,7,194190230.00
ANTIOQUIA,APARTADO,Semillero de Propietarios Ahorro,2020,Asignados,40,210672720.00
ANTIOQUIA,APARTADO,Semillero de Propietarios Ahorro,2021,Asignados,4,21804624.00
ANTIOQUIA,APARTADO,Semillero de Propietarios Arriendo,2020,Asignados,1,5266818.00
ANTIOQUIA,ARBOLETES,Ahorro Programado Contractual,2011,Asignados,1,7659080.00
ANTIOQUIA,ARBOLETES,Bolsa Concejales,2009,Asignados,1,10931800.00
ANTIOQUIA,ARBOLETES,Bolsa Concejales,2010,Asignados,1,11330000.00
ANTIOQUIA,ARBOLETES,Bolsa Concejales,2011,Asignados,1,11783200.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2007,Asignados,4,42013250.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2008,Asignados,9,114916250.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2009,Asignados,1,14907000.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2010,Asignados,2,30900000.00
ANTIOQUIA,ARBOLETES,Bolsa Desplazados,2011,Asignados,1,16068000.00
ANTIOQUIA,ARBOLETES,MI CASA YA,2019,Asignados,14,331246400.00
ANTIOQUIA,ARBOLETES,MI CASA YA,2020,Asignados,16,395011350.00
ANTIOQUIA,ARBOLETES,MI CASA YA,2021,Asignados,15,362049840.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase I,2013,Asignados,1,41265000.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase I,2014,Asignados,2,78848000.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase I,2015,Asignados,98,3863552000.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase II,2019,Asignados,184,9942862408.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase II,2019,Renuncias al subsidio,1,55483772.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase II,2020,Asignados,5,277418860.00
ANTIOQUIA,ARBOLETES,Programa de Vivienda Gratuita Fase II,2020,Renuncias al subsidio,1,55483772.00
ANTIOQUIA,ARGELIA,Bolsa Atentados terroristas,2004,Asignados,1,7518000.00
ANTIOQUIA,ARGELIA,Bolsa Atentados terroristas,2007,Asignados,57,480238500.00
ANTIOQUIA,ARGELIA,Bolsa Atentados terroristas,2007,Restitución SFV por Vencimiento Vigencia,5,42840000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2004,Asignados,1,8950000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,1,10842500.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2007,Asignados,40,389522750.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,2,23602750.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2008,Asignados,62,706751000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2008,Renuncia con restitucion de subsidio,1,11537500.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2008,Restitución SFV por Indemnización,3,44721000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,1,14907000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2009,Asignados,22,286959750.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2009,Restitución SFV por Indemnización,2,29814000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,4,61800000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2010,Asignados,57,867775000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2010,Restitución SFV por Indemnización,2,30900000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2011,Asignado con aplicación en Vivienda Gratuita,1,16068000.00
ANTIOQUIA,ARGELIA,Bolsa Desplazados,2011,Asignados,18,289224000.00
ANTIOQUIA,ARGELIA,Bolsa Saludable,2008,Asignados,31,114452000.00
